en	ja	reading	lesson	note
computer architecture	コンピュータアーキテクチャ	こんぴゅーたあーきてくちゃ	1	
Moore's law	ムーアの法則	むーあのほうそく	1	
memory wall	メモリウォール	めもりうぉーる	1	
dynamic power	動的電力	どうてきでんりょく	1	also: active power
supply voltage	電源電圧	でんげんでんあつ	1	
clock frequency	クロック周波数	くろっくしゅうはすう	1	
activity factor	活性化率	かっせいかりつ	1	fraction of capacitance switched per cycle
static power	静的電力	せいてきでんりょく	1	also: leakage power
threshold voltage	しきい値電圧	しきいちでんあつ	1	
fabrication cost	製造コスト	せいぞうこすと	1	
wafers	ウェハ	うぇは	1	
dies	ダイ	だい	1	
defect	欠陥	けっかん	1	manufacturing defect on a wafer
yield	歩留まり	ぶどまり	1	
latency	レイテンシ	れいてんし	2	
throughput	スループット	するーぷっと	2	
speedup	高速化率	こうそくかりつ	2	
benchmarks	ベンチマーク	べんちまーく	2	
benchmark suite	ベンチマークスイート	べんちまーくすいーと	2	
real application	実アプリケーション	じつあぷりけーしょん	2	benchmark type
kernel	カーネル	かーねる	2	benchmark type (not the OS kernel)
synthetic benchmark	合成ベンチマーク	ごうせいべんちまーく	2	
peak performance	ピーク性能	ぴーくせいのう	2	
Standard Performance Evaluation Corporation	SPEC	SPEC	2	
SPEC	SPEC	SPEC	2	see: Standard Performance Evaluation Corporation
Transaction Processing Performance Council	TPC	TPC	2	
TPC	TPC	TPC	2	see: Transaction Processing Performance Council
Embedded Microprocessor Benchmark Consortium	EEMBC	EEMBC	2	
EEMBC	EEMBC	EEMBC	2	see: Embedded Microprocessor Benchmark Consortium
arithmetic mean	算術平均	さんじゅつへいきん	2	
geometric mean	幾何平均	きかへいきん	2	
iron law	性能の鉄則	せいのうのてっそく	2	iron law of performance
CPU time	CPU 時間	CPU じかん	2	
instruction count	命令数	めいれいすう	2	
IC	IC	IC	2	see: instruction count
cycles per instruction	命令当たりサイクル数	めいれいあたりさいくるすう	2	
CPI	CPI	CPI	2	see: cycles per instruction
clock cycle time	クロックサイクル時間	くろっくさいくるじかん	2	
instruction set architecture	命令セットアーキテクチャ	めいれいせっとあーきてくちゃ	2	
ISA	ISA	ISA	2	see: instruction set architecture
microarchitecture	マイクロアーキテクチャ	まいくろあーきてくちゃ	2	
Amdahl's law	Amdahl の法則	あむだーるのほうそく	2	
make the common case fast	頻出ケースを速くせよ	ひんしゅつけーすをはやくせよ	2	design principle
Lhadma's law	Lhadma の法則	らどまのほうそく	2	do not make the uncommon case too slow
diminishing returns	収穫逓減	しゅうかくていげん	2	
pipelining	パイプライン化	ぱいぷらいんか	3	
stages	ステージ	すてーじ	3	
latch	ラッチ	らっち	3	pipeline register between stages
five-stage pipeline	5 段パイプライン	5だんぱいぷらいん	3	
instruction fetch stage	命令フェッチステージ	めいれいふぇっちすてーじ	3	
IF	IF	IF	3	see: instruction fetch stage
instruction decode stage	命令デコードステージ	めいれいでこーどすてーじ	3	
ID	ID	ID	3	see: instruction decode stage
execute stage	実行ステージ	じっこうすてーじ	3	
EX	EX	EX	3	see: execute stage
memory stage	メモリステージ	めもりすてーじ	3	
MEM	MEM	MEM	3	see: memory stage
write-back stage	書き戻しステージ	かきもどしすてーじ	3	
WB	WB	WB	3	see: write-back stage
program counter	プログラムカウンタ	ぷろぐらむかうんた	3	
PC	PC	PC	3	see: program counter
stall	ストール	すとーる	3	
bubble	バブル	ばぶる	3	empty pipeline slot created by a stall
flush	フラッシュ	ふらっしゅ	3	discarding fetched instructions (not: flash memory)
control dependence	制御依存	せいぎょいぞん	3	
data dependence	データ依存	でーたいぞん	3	
read-after-write dependence	RAW 依存	RAW いぞん	3	also: true dependence, flow dependence
RAW	RAW	RAW	3	see: read-after-write dependence
write-after-read dependence	WAR 依存	WAR いぞん	3	also: anti-dependence
WAR	WAR	WAR	3	see: write-after-read dependence
write-after-write dependence	WAW 依存	WAW いぞん	3	also: output dependence
WAW	WAW	WAW	3	see: write-after-write dependence
false dependences	偽の依存	ぎのいぞん	3	also: name dependence
hazard	ハザード	はざーど	3	
control hazard	制御ハザード	せいぎょはざーど	3	
data hazard	データハザード	でーたはざーど	3	
forwarding	フォワーディング	ふぉわーでぃんぐ	3	also: bypassing
pipeline depth	パイプライン段数	ぱいぷらいんだんすう	3	number of pipeline stages
taken branch	成立分岐	せいりつぶんき	4	
not-taken branch	不成立分岐	ふせいりつぶんき	4	
branch target address	分岐先アドレス	ぶんきさきあどれす	4	
branch prediction	分岐予測	ぶんきよそく	4	
branch misprediction	分岐予測ミス	ぶんきよそくみす	4	
misprediction penalty	予測ミスペナルティ	よそくみすぺなるてぃ	4	cycles lost per misprediction
branch prediction accuracy	分岐予測精度	ぶんきよそくせいど	4	
predict not taken	不成立予測	ふせいりつよそく	4	static prediction: always fetch PC+4
branch target buffer	分岐先バッファ	ぶんきさきばっふぁ	4	
BTB	BTB	BTB	4	see: branch target buffer
direction predictor	方向予測器	ほうこうよそくき	4	predicts taken/not taken
branch history table	分岐履歴テーブル	ぶんきりれきてーぶる	4	
BHT	BHT	BHT	4	see: branch history table
one-bit predictor	1 ビット予測器	1びっとよそくき	4	
1BP	1BP	1BP	4	see: one-bit predictor
two-bit predictor	2 ビット予測器	2びっとよそくき	4	
2BP	2BP	2BP	4	see: two-bit predictor
saturating counter	飽和カウンタ	ほうわかうんた	4	
history-based predictor	履歴ベース予測器	りれきべーすよそくき	4	
N-bit history predictor	N ビット履歴予測器	Nびっとりれきよそくき	4	
pattern history table	パターン履歴テーブル	ぱたーんりれきてーぶる	4	table of shared counters indexed by history
PHT	PHT	PHT	4	see: pattern history table
private branch history	ローカル分岐履歴	ろーかるぶんきりれき	4	per-branch history; also: local history
PShare predictor	PShare 予測器	PShare よそくき	4	private history, shared counters
global branch history	グローバル分岐履歴	ぐろーばるぶんきりれき	4	
GShare predictor	GShare 予測器	GShare よそくき	4	global history XOR PC, shared counters
tournament predictor	トーナメント予測器	とーなめんとよそくき	4	
meta-predictor	メタ予測器	めたよそくき	4	chooses among predictors
hierarchical predictor	階層型予測器	かいそうがたよそくき	4	
return address stack	リターンアドレススタック	りたーんあどれすすたっく	4	
RAS	RAS	RAS	4	see: return address stack
predecoding	プリデコード	ぷりでこーど	4	marking RET etc. when instructions are loaded
predication	プレディケーション	ぷれでぃけーしょん	5	removing a branch by computing both paths and selecting
if-conversion	if 変換	if へんかん	5	
conditional move	条件付きムーブ	じょうけんつきむーぶ	5	
MOVZ	MOVZ	MOVZ	5	MIPS move-if-zero instruction
MOVN	MOVN	MOVN	5	MIPS move-if-not-zero instruction
CMOVcc	CMOVcc	CMOVcc	5	x86 conditional move instructions
condition code	条件コード	じょうけんこーど	5	
full predication	完全プレディケーション	かんぜんぷれでぃけーしょん	5	condition field on every instruction
predicate register	述語レジスタ	じゅつごれじすた	5	IA-64 one-bit register selected by the qualifying predicate
architectural register	アーキテクチャレジスタ	あーきてくちゃれじすた	6	register visible to the programmer
physical register	物理レジスタ	ぶつりれじすた	6	
register renaming	レジスタリネーミング	れじすたりねーみんぐ	6	
register alias table	レジスタエイリアステーブル	れじすたえいりあすてーぶる	6	
RAT	RAT	RAT	6	see: register alias table
ideal processor	理想プロセッサ	りそうぷろせっさ	6	ILP reference machine: renaming, unlimited width, perfect prediction
instruction-level parallelism	命令レベル並列性	めいれいれべるへいれつせい	6	
ILP	ILP	ILP	6	see: instruction-level parallelism
instructions per cycle	サイクル当たり命令数	さいくるあたりめいれいすう	6	reciprocal of CPI
IPC	IPC	IPC	6	see: instructions per cycle
in-order execution	インオーダ実行	いんおーだじっこう	6	
out-of-order execution	アウトオブオーダ実行	あうとおぶおーだじっこう	7	
Tomasulo's algorithm	Tomasulo のアルゴリズム	とますろのあるごりずむ	7	
instruction queue	命令キュー	めいれいきゅー	7	
reservation station	リザベーションステーション	りざべーしょんすてーしょん	7	
RS	RS	RS	7	see: reservation station
common data bus	共通データバス	きょうつうでーたばす	7	
CDB	CDB	CDB	7	see: common data bus
issue	発行	はっこう	7	Tomasulo step: instruction queue to reservation station
dispatch	ディスパッチ	でぃすぱっち	7	Tomasulo step: reservation station to execution
write result	結果書き込み	けっかかきこみ	7	Tomasulo step; also: broadcast
precise exception	正確な例外	せいかくなれいがい	8	
phantom exception	ファントム例外	ふぁんとむれいがい	8	exception raised by a mispredicted instruction
reorder buffer	リオーダバッファ	りおーだばっふぁ	8	
ROB	ROB	ROB	8	see: reorder buffer
commit	コミット	こみっと	8	also: retirement
branch misprediction recovery	分岐予測ミス回復	ぶんきよそくみすかいふく	8	
unified reservation station	統合リザベーションステーション	とうごうりざべーしょんすてーしょん	8	
superscalar	スーパースカラ	すーぱーすから	8	
load-store queue	ロードストアキュー	ろーどすとあきゅー	9	
LSQ	LSQ	LSQ	9	see: load-store queue
store-to-load forwarding	ストアロードフォワーディング	すとあろーどふぉわーでぃんぐ	9	
tree height reduction	木の高さ削減	きのたかささくげん	10	
instruction scheduling	命令スケジューリング	めいれいすけじゅーりんぐ	10	
loop unrolling	ループ展開	るーぷてんかい	10	
code bloat	コード肥大化	こーどひだいか	10	
function call inlining	インライン展開	いんらいんてんかい	10	
software pipelining	ソフトウェアパイプライニング	そふとうぇあぱいぷらいにんぐ	10	
trace scheduling	トレーススケジューリング	とれーすすけじゅーりんぐ	10	
very long instruction word	VLIW	VLIW	11	
VLIW	VLIW	VLIW	11	see: very long instruction word
backward compatibility	後方互換性	こうほうごかんせい	11	
branch hint	分岐ヒント	ぶんきひんと	11	direction the compiler expects, encoded in the branch
stop bit	ストップビット	すとっぷびっと	11	marks the last operation of a group executed together
Itanium	Itanium	Itanium	11	Intel IA-64 processor with VLIW-style instructions
digital signal processor	DSP	DSP	11	
DSP	DSP	DSP	11	see: digital signal processor
locality principle	局所性の原理	きょくしょせいのげんり	12	
temporal locality	時間的局所性	じかんてききょくしょせい	12	
spatial locality	空間的局所性	くうかんてききょくしょせい	12	
cache	キャッシュ	きゃっしゅ	12	
cache hit	キャッシュヒット	きゃっしゅひっと	12	
cache miss	キャッシュミス	きゃっしゅみす	12	
average memory access time	平均メモリアクセス時間	へいきんめもりあくせすじかん	12	
AMAT	AMAT	AMAT	12	see: average memory access time
hit time	ヒット時間	ひっとじかん	12	
hit rate	ヒット率	ひっとりつ	12	
miss rate	ミス率	みすりつ	12	
miss penalty	ミスペナルティ	みすぺなるてぃ	12	
L1 cache	L1 キャッシュ	L1 きゃっしゅ	12	first-level cache
cache block	キャッシュブロック	きゃっしゅぶろっく	12	
block size	ブロックサイズ	ぶろっくさいず	12	
cache line	キャッシュライン	きゃっしゅらいん	12	block-sized slot in the cache
block offset	ブロックオフセット	ぶろっくおふせっと	12	
block number	ブロック番号	ぶろっくばんごう	12	
tag	タグ	たぐ	12	cache
valid bit	有効ビット	ゆうこうびっと	12	
direct-mapped cache	ダイレクトマップキャッシュ	だいれくとまっぷきゃっしゅ	12	
index	インデックス	いんでっくす	12	cache
set-associative cache	セットアソシアティブキャッシュ	せっとあそしあてぃぶきゃっしゅ	12	
fully associative cache	フルアソシアティブキャッシュ	ふるあそしあてぃぶきゃっしゅ	12	
associativity	連想度	れんそうど	12	
replacement policy	置換アルゴリズム	ちかんあるごりずむ	12	cache
least recently used	LRU	LRU	12	replacement policy
